strategy,across_distinct_1,across_distinct_2,across_distinct_3,within_distinct_1,within_distinct_2,within_distinct_3
greedy,0.3347732181425486,0.5831485587583148,0.6355353075170843,0.0,0.0,0.0
beam_search,0.6911764705882353,0.9354838709677419,0.9824561403508771,0.0,0.0,0.0
top_k,0.46551724137931033,0.8274111675126904,0.9162303664921466,0.41566265060240964,0.7791798107255521,0.9072847682119205
top_p,0.40463458110516937,0.6824817518248175,0.7962616822429907,0.24804177545691905,0.35656836461126007,0.38016528925619836
