distinct_1,distinct_2,distinct_3,avg_reward,num_samples,strategy,temperature
0.3577981651376147,0.6320754716981132,0.6990291262135923,-2.6360939666628838,32,greedy,1.0
0.6621621621621622,0.9117647058823529,0.9365079365079365,-2.9849095940589905,32,beam_search,1.0
0.30952380952380953,0.5491803278688525,0.6056338028169014,-2.7409403640776873,32,top_k,0.2
0.37355371900826445,0.6542372881355932,0.7495652173913043,-2.7589629059657454,32,top_k,0.5
0.33707865168539325,0.7001434720229556,0.8504398826979472,-3.6932268058881164,32,top_k,0.8
0.4441489361702128,0.8517006802721089,0.947075208913649,-3.4916621618904173,32,top_k,1.0
0.4656934306569343,0.9073243647234679,0.9755351681957186,-3.576307825744152,32,top_k,1.2
0.3333333333333333,0.5563380281690141,0.606280193236715,-2.5600800700485706,32,top_p,0.2
0.2962962962962963,0.520618556701031,0.5877192982456141,-2.8447191417217255,32,top_p,0.5
0.4174573055028463,0.7173489278752436,0.7855711422845691,-2.662188618327491,32,top_p,0.8
0.5221843003412969,0.9242957746478874,0.9636363636363636,-3.0880689080804586,32,top_p,1.0
0.5861091424521616,0.9611790079079798,0.9963530269876003,-4.617190707474947,32,top_p,1.2
